blind_id,sample_index,scenario_id,active_validity,structure,transition_coherence,rs_current
ADV-D20C7F6FD6,102,insider-threat-easy-001,1.0,0.85,0.5,0.8225
ADV-F73BC4A5DA,103,APT_CLOUD_001,1.0,1.0,0.375,0.84375
ADV-1E2C3F7D1C,104,Ransomware_Attack_Cloud_001,1.0,1.0,0.833333,0.958333
ADV-902389E9F5,105,ics_ransomware_001,1.0,0.85,0.6,0.8475
ADV-1819745172,106,APT29-WaterTreatment-Phishing-001,1.0,1.0,0.5,0.875
ADV-87D484DBB1,107,APT41-Cloud-SaaS-2023,1.0,1.0,0.714286,0.928571
ADV-C21292650C,108,APT29-Ransomware-MilitaryContractor-001,1.0,1.0,0.833333,0.958333
ADV-3880166C1A,109,Lazarus_Hospital_Insider_Threat_001,1.0,1.0,0.666667,0.916667
ADV-AA3D2DB04A,110,lazarus_group_water_treatment_ransomware,1.0,1.0,0.833333,0.958333
ADV-6DEA3FDBC3,111,ransomware_cloud_attack_001,1.0,1.0,0.666667,0.916667
ADV-22A741209D,112,INSIDER_THREAT_001,1.0,0.85,0.8,0.8975
ADV-27537B25D7,113,APT-Healthcare-001,1.0,1.0,0.833333,0.958333
ADV-6AF5DF650B,114,sandworm-cloud-apt-001,1.0,1.0,0.833333,0.958333
ADV-A48DB07D37,115,SRW-2023-01,1.0,1.0,0.666667,0.916667
ADV-A79F23042C,116,APT35-Phishing-Media-001,1.0,1.0,0.75,0.9375
ADV-E15F8A0985,117,APT41_Ransomware_Campaign,1.0,1.0,0.833333,0.958333
ADV-469CEB0044,118,insider-threat-healthcare-001,1.0,0.85,0.5,0.8225
ADV-566CB09FC3,119,ICS-Insider-Threat-001,1.0,1.0,0.857143,0.964286
ADV-FE932584DF,120,sandworm_phishing_water_treatment_001,1.0,1.0,0.75,0.9375
ADV-45FE1D5BC3,121,APT41_ICS_InsiderThreat_001,1.0,1.0,0.5,0.875
ADV-7CEF475484,122,APT-ICS-001,1.0,1.0,0.5,0.875
ADV-7C7BDA0022,123,insider-threat-cloud-001,1.0,0.85,0.6,0.8475
ADV-FD7524666E,124,ransomware_simulation_001,1.0,0.85,0.666667,0.864167
ADV-3FF7407018,125,APT-Healthcare-001,1.0,1.0,0.75,0.9375
ADV-1DD7ACE353,126,phishing_attack_cloud_001,1.0,1.0,0.5,0.875
ADV-DAD5EADCE2,127,APT-ICS-001,1.0,1.0,0.8,0.95
ADV-5355A1F1E7,128,ICS-Ransomware-Easy-001,1.0,1.0,0.75,0.9375
ADV-BA54E05AC8,129,lazarus_phishing_military,1.0,1.0,0.666667,0.916667
ADV-BA4E7B1DA2,130,APT28_Legal_Firm_Insider_Threat_001,1.0,1.0,0.6,0.9
ADV-B11D333E5C,131,APT41-Media-Broadcasting-2023,1.0,1.0,0.666667,0.916667
ADV-4AE4310A02,132,ransomware_cloud_001,1.0,0.85,0.666667,0.864167
ADV-B9AB760653,133,phishing_attack_001,1.0,0.7,0.5,0.77
ADV-7C0666B1C3,134,ransomware_attack_001,1.0,1.0,0.8,0.95
ADV-0706623242,135,APT-HEALTHCARE-001,1.0,1.0,0.444444,0.861111
ADV-6485EFDE0E,136,insider-threat-cloud-001,1.0,1.0,0.571429,0.892857
ADV-A4C91DC928,137,APT28-Phishing-Ransomware-2023,1.0,1.0,0.714286,0.928571
ADV-13DF3E4B51,138,cloud-phishing-001,1.0,1.0,0.75,0.9375
ADV-12349FFD5B,139,phishing_attack_001,1.0,0.85,0.4,0.7975
ADV-A72977D90D,140,Kimsuky_Phishing_IP_Theft,1.0,1.0,0.666667,0.916667
ADV-C4F87505FF,141,APT29-Cloud-2023,1.0,1.0,0.8,0.95
ADV-BE0846EFA0,142,APT-Healthcare-001,1.0,1.0,0.6,0.9
ADV-9705214641,143,ICS-Insider-Threat-001,1.0,1.0,0.333333,0.833333
ADV-934CB0123D,144,APT28-HE-2023,1.0,1.0,0.833333,0.958333
ADV-E0507A85C4,145,ICS-Phishing-Attack-001,1.0,1.0,0.666667,0.916667
ADV-687E9FA263,146,APT29_Retail_Insider_Threat_001,1.0,1.0,0.666667,0.916667
ADV-4959DF6CC2,147,phishing_attack_001,1.0,1.0,0.6,0.9
ADV-24B9D6028E,148,APT-Cloud-001,1.0,1.0,0.5625,0.890625
ADV-2C23BDF501,149,HT_INSIDER_001,1.0,0.85,0.2,0.7475
ADV-1EE4472C38,150,phishing_attack_001,1.0,1.0,0.5,0.875
