blind_id,n_annotators,mean_attck_alignment,mean_stage_sequence,mean_overall_realism,rs_current,active_validity,structure,transition_coherence
ADV-2387A39A4E,5,4.6,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-24B9D6028E,5,4.6,4.8,4.2,0.890625,1.0,1.0,0.5625
ADV-2579517B32,5,4.6,4.8,3.4,0.8475,1.0,0.85,0.6
ADV-27537B25D7,5,4.6,4.2,4.2,0.958333,1.0,1.0,0.833333
ADV-27726A1125,5,4.4,4.8,3.6,0.928571,1.0,1.0,0.714286
ADV-28AEA274A3,5,4.6,4.6,4.4,0.916667,1.0,1.0,0.666667
ADV-29E14D6D4B,5,3.6,4.2,4.2,0.875,1.0,1.0,0.5
ADV-2C23BDF501,5,4.6,4.2,3.6,0.7475,1.0,0.85,0.2
ADV-2C86ACB7C2,5,4.8,4.6,3.0,0.916667,1.0,1.0,0.666667
ADV-2D2C035F32,5,4.2,4.6,4.0,0.818182,1.0,1.0,0.272727
ADV-2D2E337E83,5,1.8,4.2,4.2,0.9375,1.0,1.0,0.75
ADV-2F29AB1708,5,1.8,4.6,4.2,0.95,1.0,1.0,0.8
ADV-2FC797FDCB,5,4.8,4.8,4.4,0.9375,1.0,1.0,0.75
ADV-305392BC3B,5,2.0,4.6,4.4,0.916667,1.0,1.0,0.666667
ADV-308EE463DE,5,4.2,4.6,4.2,0.892857,1.0,1.0,0.571429
ADV-336BB0B923,5,1.8,4.8,4.2,0.833333,1.0,1.0,0.333333
ADV-37947ECE64,5,1.4,4.6,4.2,0.9375,1.0,1.0,0.75
ADV-3880166C1A,5,1.8,4.6,3.6,0.916667,1.0,1.0,0.666667
ADV-3FF7407018,5,4.6,4.8,4.2,0.9375,1.0,1.0,0.75
ADV-43448EC33B,5,3.2,4.6,4.2,0.916667,1.0,1.0,0.666667
ADV-451AC20382,5,4.2,4.8,4.2,0.885,1.0,0.85,0.75
ADV-45FE1D5BC3,5,2.4,4.6,3.4,0.875,1.0,1.0,0.5
ADV-469CEB0044,5,3.8,4.2,4.2,0.8225,1.0,0.85,0.5
ADV-4739721DD4,5,4.2,4.8,4.2,0.8975,1.0,0.85,0.8
ADV-4959DF6CC2,5,4.2,4.2,4.2,0.9,1.0,1.0,0.6
ADV-49741AFCB0,5,4.6,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-4AE4310A02,5,4.2,4.8,4.2,0.864167,1.0,0.85,0.666667
ADV-4F472F820C,5,4.6,4.8,3.6,0.875,1.0,1.0,0.5
ADV-5355A1F1E7,5,4.8,4.8,4.0,0.9375,1.0,1.0,0.75
ADV-537B960BB1,5,4.8,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-54F555CDE3,5,3.2,4.8,3.2,0.8475,1.0,0.85,0.6
ADV-566CB09FC3,5,4.4,4.6,3.2,0.964286,1.0,1.0,0.857143
ADV-589193E08E,5,4.6,4.6,4.4,0.916667,1.0,1.0,0.666667
ADV-597CD136C1,5,4.8,4.6,4.2,0.928571,1.0,1.0,0.714286
ADV-59FB56CD06,5,4.2,4.8,4.4,0.833333,1.0,1.0,0.333333
ADV-63C9C410EA,5,4.2,4.6,4.4,0.8225,1.0,0.85,0.5
ADV-6485EFDE0E,5,4.2,4.0,4.4,0.892857,1.0,1.0,0.571429
ADV-658E67D770,5,4.6,4.6,4.2,0.916667,1.0,1.0,0.666667
ADV-687E9FA263,5,4.8,4.6,3.2,0.916667,1.0,1.0,0.666667
ADV-688F54D5AD,5,4.6,4.6,4.4,0.95,1.0,1.0,0.8
ADV-6AF5DF650B,5,2.8,4.6,4.2,0.958333,1.0,1.0,0.833333
ADV-6DEA3FDBC3,5,4.6,4.6,4.2,0.916667,1.0,1.0,0.666667
ADV-729E3589A0,5,4.2,4.8,4.2,0.864167,1.0,0.85,0.666667
ADV-748451A420,5,4.6,4.6,4.2,0.875,1.0,1.0,0.5
ADV-75866EA9B9,5,4.2,4.6,4.4,0.8225,1.0,0.85,0.5
ADV-78A0501165,5,3.6,4.2,4.2,0.944444,1.0,1.0,0.777778
ADV-7C0666B1C3,5,4.6,4.8,4.4,0.95,1.0,1.0,0.8
ADV-7C7BDA0022,5,4.2,4.6,3.4,0.8475,1.0,0.85,0.6
ADV-7CBB7965C0,5,4.0,4.8,4.2,0.8475,1.0,0.85,0.6
ADV-7CEF475484,5,4.8,4.8,4.2,0.875,1.0,1.0,0.5
ADV-7D8CF074F1,5,3.2,4.8,3.4,0.958333,1.0,1.0,0.833333
ADV-7DE4C3CBE2,5,2.6,4.6,4.2,0.95,1.0,1.0,0.8
ADV-81547B2A29,5,3.6,4.2,4.4,0.875,1.0,1.0,0.5
ADV-858FF409BE,5,4.2,4.6,4.2,0.875,1.0,1.0,0.5
ADV-86D500B330,5,4.6,4.6,4.4,0.885,1.0,0.85,0.75
ADV-87D484DBB1,5,4.6,4.6,4.4,0.928571,1.0,1.0,0.714286
ADV-884BC4E303,5,4.2,4.8,4.2,0.9375,1.0,1.0,0.75
ADV-8AF256BCB3,5,4.2,4.6,3.2,0.916667,1.0,1.0,0.666667
ADV-902389E9F5,5,4.2,4.6,4.2,0.8475,1.0,0.85,0.6
ADV-911F49D19E,5,4.8,4.8,4.2,0.864167,1.0,0.85,0.666667
ADV-93060DA2EA,5,4.6,4.8,4.2,0.864167,1.0,0.85,0.666667
ADV-934CB0123D,5,2.6,4.6,3.0,0.958333,1.0,1.0,0.833333
ADV-944EB97AF7,5,4.0,4.8,4.4,0.916667,1.0,1.0,0.666667
ADV-9705214641,5,4.6,4.8,4.0,0.833333,1.0,1.0,0.333333
ADV-A48DB07D37,5,3.2,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-A4C91DC928,5,4.4,4.2,3.2,0.928571,1.0,1.0,0.714286
ADV-A58C1974D9,5,4.6,4.8,4.2,0.958333,1.0,1.0,0.833333
ADV-A68E462F83,5,4.0,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-A72977D90D,5,1.6,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-A79F23042C,5,2.2,4.8,4.4,0.9375,1.0,1.0,0.75
ADV-A85CFD78B3,5,4.2,4.6,3.6,0.8475,1.0,0.85,0.6
ADV-A94EA274FF,5,1.6,4.2,4.2,0.916667,1.0,1.0,0.666667
ADV-AA3D2DB04A,5,3.0,4.8,4.2,0.958333,1.0,1.0,0.833333
ADV-AEBFF549A2,5,1.6,4.8,4.2,0.7975,1.0,0.85,0.4
ADV-B11D333E5C,5,2.8,4.6,4.2,0.916667,1.0,1.0,0.666667
ADV-B2E9905898,5,1.4,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-B328944C9E,5,4.4,4.8,4.2,0.875,1.0,1.0,0.5
ADV-B3497BB649,5,4.2,4.2,3.4,0.916667,1.0,1.0,0.666667
ADV-B62CD08163,5,4.6,4.8,4.2,0.95,1.0,1.0,0.8
ADV-B632365931,5,4.8,4.8,4.2,0.85,1.0,1.0,0.4
ADV-B6C82F9C4E,5,4.6,4.6,3.2,0.9375,1.0,1.0,0.75
ADV-B79E672C31,5,3.0,4.8,2.4,0.95,1.0,1.0,0.8
ADV-B9AB760653,5,4.8,4.8,4.2,0.77,1.0,0.7,0.5
ADV-BA4E7B1DA2,5,1.8,4.8,3.4,0.9,1.0,1.0,0.6
ADV-BA54E05AC8,5,4.6,4.6,4.2,0.916667,1.0,1.0,0.666667
ADV-BE0846EFA0,5,4.2,4.6,4.4,0.9,1.0,1.0,0.6
ADV-BE4619ACAB,5,4.8,4.6,4.2,0.77,1.0,0.7,0.5
ADV-BE77E9945E,5,4.6,4.8,4.4,0.9375,1.0,1.0,0.75
ADV-BF4DA2C54F,5,4.8,4.6,3.2,0.9375,1.0,1.0,0.75
ADV-C05BE69843,5,1.8,4.8,4.2,0.916667,1.0,1.0,0.666667
ADV-C1A2F003FB,5,1.4,4.6,3.4,0.9375,1.0,1.0,0.75
ADV-C21292650C,5,4.4,4.2,3.2,0.958333,1.0,1.0,0.833333
ADV-C452614FB5,5,1.8,4.8,3.2,0.916667,1.0,1.0,0.666667
ADV-C4F87505FF,5,4.6,4.8,4.2,0.95,1.0,1.0,0.8
ADV-C62AD7706B,5,2.8,4.6,2.8,0.95,1.0,1.0,0.8
ADV-C729915AA3,5,4.6,4.8,4.2,0.8225,1.0,0.85,0.5
ADV-CF6E358E00,5,4.4,4.8,4.0,0.925,1.0,1.0,0.7
ADV-D169F3E5C9,5,4.6,4.8,3.6,0.9375,1.0,1.0,0.75
ADV-D1D48E2E74,5,4.6,4.6,4.6,0.916667,1.0,1.0,0.666667
ADV-D20C7F6FD6,5,4.8,4.8,3.6,0.8225,1.0,0.85,0.5
ADV-D2F2A3FD48,5,2.2,4.6,3.2,0.875,1.0,1.0,0.5
ADV-D65302B796,5,4.6,4.8,4.4,0.9,1.0,1.0,0.6
ADV-D72EDCE81F,5,4.2,4.8,4.2,0.888889,1.0,1.0,0.555556
ADV-DAD5EADCE2,5,4.6,4.8,4.2,0.95,1.0,1.0,0.8
ADV-DC24272123,5,3.0,4.8,4.2,0.958333,1.0,1.0,0.833333
ADV-DC9B4AC07F,5,3.2,4.6,4.2,0.964286,1.0,1.0,0.857143
ADV-DCFF87F783,5,4.2,4.6,4.2,0.892857,1.0,1.0,0.571429
ADV-E0507A85C4,5,4.2,4.6,4.2,0.916667,1.0,1.0,0.666667
ADV-E15F8A0985,5,4.8,4.6,4.2,0.958333,1.0,1.0,0.833333
ADV-E173418C4C,5,3.2,4.6,3.4,0.916667,1.0,1.0,0.666667
ADV-E64E13FB09,5,4.8,4.8,3.2,0.916667,1.0,1.0,0.666667
ADV-E74C554359,5,2.8,4.2,4.2,0.9375,1.0,1.0,0.75
ADV-E772BB9223,5,4.2,4.2,4.2,0.916667,1.0,1.0,0.666667
ADV-E81B68B9C0,5,4.6,4.6,3.2,0.9375,1.0,1.0,0.75
ADV-EC8A96AE85,5,4.6,4.6,4.2,0.9,1.0,1.0,0.6
ADV-F0FBDC98EB,5,4.2,4.6,4.2,0.8225,1.0,0.85,0.5
ADV-F44B46030C,5,3.2,4.8,4.4,0.916667,1.0,1.0,0.666667
ADV-F73BC4A5DA,5,4.6,4.8,4.2,0.84375,1.0,1.0,0.375
ADV-F741000ABB,5,4.0,4.8,4.2,0.833333,1.0,1.0,0.333333
ADV-F83F8E3C87,5,4.6,4.8,3.2,0.916667,1.0,1.0,0.666667
ADV-F87C2B06AB,5,4.8,4.0,4.2,0.8225,1.0,0.85,0.5
ADV-FCF97FA24C,5,1.2,4.8,3.2,0.9375,1.0,1.0,0.75
ADV-FD7524666E,5,4.0,4.8,4.2,0.864167,1.0,0.85,0.666667
ADV-FE4A4D361C,5,4.6,4.6,3.4,0.9,1.0,1.0,0.6
ADV-FE932584DF,5,4.6,4.2,4.2,0.9375,1.0,1.0,0.75
